symbol,side,type,price,origQty,status,updateTime
BTCUSDT,BUY,LIMIT,100000.00,0.200,NEW,2025-06-24 17:35:50.434811
BTCUSDT,BUY,MARKET,0.00,0.200,NEW,2025-06-24 17:42:32.417197
